hcp_name,num_articles,title,title_link,authors,publications,snippet
Adel Bader Hamdalla,0,,,,,
Adel Bader Hamdalla,0,,,,,
Adel Bader Hamdalla,0,,,,,
Aglaia Schiza,10,"Neoadjuvant trastuzumab, pertuzumab, and docetaxel vs trastuzumab emtansine in patients with ERBB2-positive breast cancer: a phase 2 randomized clinical trial",https://jamanetwork.com/journals/jamaoncology/article-abstract/2781086,"T Hatschek, T Foukakis, J Bjöhle, T Lekberg… ","JAMA …, 2021 ","Importance Trastuzumab emtansine (T-DM1) is presently approved for treatment of advanced 
breast cancer and after incomplete response to neoadjuvant therapy, but the potential of 
T-DM1 as monotherapy is so far unknown. Objective To assess pathologic complete response …"
Aglaia Schiza,10,[HTML][HTML] Adenovirus-mediated CD40L gene transfer increases Teffector/Tregulatory cell ratio and upregulates death receptors in metastatic melanoma patients,https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-017-1182-z,"A Schiza, J Wenthe, S Mangsbo… ","Journal of …, 2017 ","Malignant melanoma is an aggressive tumor sensitive for immunotherapy such as checkpoint 
blockade antibodies. Still, most patients with late stage disease do not respond, and the side 
effects can be severe. Stimulation of the CD40 pathway to initiate anti-tumor immunity is a …"
Aglaia Schiza,10,High PDGFRb Expression Predicts Resistance to Radiotherapy in DCIS within the SweDCIS Randomized Trial,https://clincancerres.aacrjournals.org/content/27/12/3469.abstract,"C Strell, D Folkvaljon, E Holmberg, A Schiza… ","Clinical Cancer …, 2021 ","Purpose: This study analyzes the potential of stromal platelet-derived growth factor receptor-beta 
(PDGFRb) expression as biomarker for radiotherapy (RT) benefit on ipsilateral breast 
events (IBE) in ductal carcinoma in situ (DCIS). Improved identification of DCIS patients …"
Aglaia Schiza,10,[HTML][HTML] Evaluation of diffusion-weighted MRI and FDG-PET/CT to assess response to AdCD40L treatment in metastatic melanoma patients,https://www.nature.com/articles/s41598-019-54438-x,"A Schiza, S Irenaeus, F Ortiz-Nieto, A Loskog… ","Scientific reports, 2019 ","The purpose was to evaluate the potential of diffusion-weighted-magnetic resonance imaging 
(DW-MRI) and 18 F-fludeoxy-glucose-positron emission tomography integrated with CT 
(FDG-PET/CT) for prediction of overall survival (OS) following AdCD40L-immunotherapy in …"
Aglaia Schiza,10,[HTML][HTML] Local irradiation does not enhance the effect of immunostimulatory AdCD40L gene therapy combined with low dose cyclophosphamide in melanoma patients,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5667983/,"S Irenaeus, A Schiza, SM Mangsbo, J Wenthe… ","Oncotarget, 2017 ","Background AdCD40L is an immunostimulatory gene therapy under evaluation for 
advanced melanoma, including ocular melanoma. Herein, we present the final data of a 
Phase I/IIa trial using AdCD40L alone or in combination with low dose cyclophosphamide+/-radiation …"
Aglaia Schiza,10,[HTML][HTML] Predictive role of HER2-status on the effectiveness of endocrine adjuvant treatment in postmenopausal breast cancer patients: a population-based cohort …,https://link.springer.com/article/10.1007/s10549-020-06022-5,"A Schiza, D Mauri, I Fredriksson, AK Wennstig… ","Breast Cancer Research …, 2021 ","Purpose There are conflicting results on the potential role of HER2-status on the efficacy of 
aromatase inhibitors (AIs) and tamoxifen (TAM) in patients with hormone receptor (HR)-positive 
breast cancer (BC). The purpose of this population-based cohort study was to investigate …"
Aglaia Schiza,10,"Abstract PO-018: Inflaming advanced solid tumors including pancreatic cancer using LOAd703, a TMZ-CD40L/4-1BBL-armed oncolytic virus",https://cancerres.aacrjournals.org/content/81/22_Supplement/PO-018.short,"J Wenthe, E Eriksson, L Sandin, T Lövgren, JL Jarblad… ",2021 ,"Pancreatic ductal adenocarcinoma (PDAC) is resistant to PD1/PDL1 blocking antibodies. The 
purpose of this study was to evaluate if immunotherapy with LOAd703, an oncolytic adenovirus 
armed with trimerized CD40L and 4-1BBL, can sensitize PDAC to mAbs targeting PD1/…"
Aglaia Schiza,10,Safety of intratumoral immunostimulatory LOAd703 gene therapy in patients with advanced cancer,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1564568,"S Irenaeus, J Wenthe, E Eriksson, A Schiza… ",2021 ,"LOAd703 is an oncolytic adenovirus carrying the immunostimulatory transgenes trimerized 
membrane-bound (TMZ)-CD40L and 4-1BBL. CD40/CD40L interaction causes dendritic 
cell maturation and stimulates Th1 type immune responses whereas signaling trough the 4-1BB …"
